Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.272005087070109,0.131245622631529,0.306632232073919,0,0,0,1.804,0.0170711114421655,-1.11503257682928E-17,8.02365194176436E-18,0.0289395666666666,-3.95602046011923E-18,0.0357214114421655,0,0,0,0,0,0,package://maze_solver/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/base_link.STL,,NewBase-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sensor_r,0.00167825063166782,-0.0025,0.00228459119938573,0,0,0,0.000399999999999999,2.96666666666666E-09,-2.46145127494112E-25,5.33676241186628E-24,5.46666666666666E-09,1.24077091882953E-25,4.16666666666665E-09,0,0,0,0,0,0,package://maze_solver/meshes/sensor_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/sensor_r.STL,,Sensor-1,Origin_sensor_r_joint2,,sensor_r_joint,fixed,0.077005,-0.30495,0.35156,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
sensor_f,0.00167825063166782,0.0025,-0.00228459119938568,0,0,0,0.000399999999999999,2.96666666666666E-09,9.44953485260854E-26,-2.18973898733301E-26,5.46666666666662E-09,-7.74710473173196E-42,4.16666666666662E-09,0,0,0,0,0,0,package://maze_solver/meshes/sensor_f.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/sensor_f.STL,,Sensor-5,Origin_sensor_f_joint2,Axis_sensor_f_joint,sensor_f_joint,fixed,0.270394416349372,-0.331632232073919,0.344987084647221,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
sensor_b,0.00167825063166782,0.0025,-0.00228459119938573,0,0,0,0.000399999999999999,2.96666666666666E-09,9.44953485260832E-26,1.94616407543925E-26,5.46666666666662E-09,-7.74710473173196E-42,4.16666666666662E-09,0,0,0,0,0,0,package://maze_solver/meshes/sensor_b.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/sensor_b.STL,,Sensor-4,Origin_sensor_b_joint2,Axis_sensor_b_joint,sensor_b_joint,fixed,0.270326836438441,-0.281632232073919,0.351556267045992,0,0,0,base_link,0,0,0,,,,,,,,,,,,
wheel_r,-0.0267187514591759,-0.0326825016397019,0.00499999999999995,0,0,0,0.0282743338823082,6.59734457253857E-06,0,-9.93244647772154E-23,6.59734457253857E-06,-9.97194947654995E-24,1.27234502470387E-05,0,0,0,0,0,0,package://maze_solver/meshes/wheel_r.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/wheel_r.STL,,Wheel-1,Origin_wheel_r_joint2,Axis_wheel_r_joint2,wheel_r_joint,revolute,0.46201,-0.25734,0.098272,1.5708,0.88546,1.5708,base_link,0.63293,0.77421,0,0,0,0,0,,,,,,,,
wheel_l,0.03,0,-0.00500000000000002,0,0,0,0.0282743338823081,6.59734457253856E-06,7.72340647507603E-38,-1.82745769488873E-37,6.59734457253856E-06,4.59177480789959E-38,1.27234502470387E-05,0,0,0,0,0,0,package://maze_solver/meshes/wheel_l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/wheel_l.STL,,Wheel-2,Origin_wheel_l_joint2,Axis_wheel_l_joint2,wheel_l_joint,revolute,0.082005,-0.26955,0.098272,-1.5708,0,-1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
caster_f,0,0.0129224542982562,-2.77555756156289E-17,0,0,0,0.00506672375389253,2.64465523113008E-07,-1.29257916186191E-25,-7.83325135724381E-23,4.95058764494177E-07,-4.95344497001472E-25,2.64465523113008E-07,0,0,0,0,0,0,package://maze_solver/meshes/caster_f.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/caster_f.STL,,ball caster wheel-2,Origin_caster_f_joint2,Axis_caster_f_joint2,caster_f_joint,fixed,0.27201,-0.22038,0.068372,1.5708,0,0,base_link,0,1,0,,,,,,,,,,,,
caster_b,0,0.0129224542982562,-5.55111512312578E-17,0,0,0,0.00506672375389253,2.64465523113008E-07,-1.28948443239958E-25,-7.81540276020561E-23,4.95058764494176E-07,-4.94176432737914E-25,2.64465523113008E-07,0,0,0,0,0,0,package://maze_solver/meshes/caster_b.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://maze_solver/meshes/caster_b.STL,,ball caster wheel-3,Origin_caster_b_joint2,Axis_caster_b_joint2,caster_b_joint,fixed,0.27201,-0.39288,0.069514,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_base,-0.19,0.00499999999999995,0.0250000000000001,0,0,0,0.0449400000000001,2.1614E-05,2.68513961788487E-23,3.01114505327962E-20,0.0006609925,1.12346567889469E-21,0.0006401275,0,0,0,0,0,0,package://maze_solver/meshes/arm_base.STL,1,1,1,0.32,0,0,0,0,0,0,package://maze_solver/meshes/arm_base.STL,,NEWARM-1,Origin_arm_base_joint2,Axis_arm_base_joint2,arm_base_joint,revolute,0.46201,-0.28163,0.35327,1.5708,0,0,base_link,0,0,1,0,0,0,1.5708,,,,,,,,
arm_top,0.19,0.005,0.025,0,0,0,0.0449400000000001,2.1614E-05,2.68513961788488E-23,3.01114505327962E-20,0.0006609925,1.12346567889469E-21,0.0006401275,0,0,0,0,0,0,package://maze_solver/meshes/arm_top.STL,1,1,1,0.32,0,0,0,0,0,0,package://maze_solver/meshes/arm_top.STL,,NEWARM-2,Origin_arm_top_joint2,Axis_arm_top_joint2,arm_top_joint,revolute,-0.38,0.01,0,0,0,0,arm_base,0,0,1,0,0,0,3.1416,,,,,,,,
